ranking,Youtuber,subscribers,category,channel_type,video_views,Title,Country,video_views_for_the_last_30_days,highest_yearly_earnings,lowest_yearly_earnings,subscribers_for_last_30_days,Population,Latitude,Longitude,date_created,Urban_population
56,Voc,44700000,Entertainment,Entertainment,7828610828,Voc,Brazil,48032000,2300000,144100,100000,212559417,-14.235004,-51.92528,2013-09-01,183241641
57,"HAR PAL GEO",44600000,Entertainment,Entertainment,41139050371,"HAR PAL GEO",Pakistan,1337000000,64200000,4000000,1300000,216565318,30.375321,69.345116,2008-01-02,79927762
59,"Katy Perry",44200000,Music,Music,25458952022,"Katy Perry","United States",134242000,6400000,402700,100000,328239523,37.09024,-95.712891,2008-06-01,270663028
60,whinderssonnunes,44200000,Comedy,Comedy,4274709210,whinderssonnunes,Brazil,26683000,1300000,80100,nan,212559417,-14.235004,-51.92528,2013-01-21,183241641
61,"ABS-CBN Entertainment",44200000,"People & Blogs",Entertainment,50292540392,"ABS-CBN Entertainment",Philippines,176629000,8500000,529900,300000,108116615,12.879721,121.774017,2008-07-16,50975903
62,"Alan Walker",43700000,Music,Film,12884264778,alanwalker,Thailand,22,1,0.07,nan,69625582,15.870032,100.992541,2006-05-12,35294600
64,Shakira,43500000,"People & Blogs",Howto,27568757295,Shakira,Colombia,353412000,17000000,1100000,500000,50339443,4.570868,-74.297333,2005-10-16,40827302
65,,43200000,"Film & Animation",Education,36458726976,,Russia,303780000,14600000,911300,300000,144373535,61.52401,105.318756,2011-05-31,107683889
66,"ARY Digital HD",43200000,Entertainment,Entertainment,37939780685,"ARY Digital HD",Pakistan,1149000000,55200000,3400000,900000,216565318,30.375321,69.345116,2016-07-11,79927762
67,"Speed Records",42500000,Music,Music,26820902622,"Speed Records",India,159757000,7700000,479300,100000,1366417754,20.593684,78.96288,2012-11-22,471031528
68,"Masha and The Bear",42400000,Shows,Film,24519022988,"Masha and The Bear","United States",670459000,32200000,2000000,1000000,328239523,37.09024,-95.712891,2014-09-17,270663028
69,"Like Nastya Show",42400000,Entertainment,Entertainment,19547696190,"Like Nastya Show","United States",53202000,2600000,159600,nan,328239523,37.09024,-95.712891,2017-11-14,270663028
70,Rihanna,41900000,Entertainment,Music,22477745835,Rihanna,Barbados,182926000,8800000,548800,100000,287025,13.193887,-59.543198,2005-11-06,89431
71,"Ishtar Music",41400000,Trailers,Music,17608931161,"Ishtar Music",India,180942000,8700000,542800,400000,1366417754,20.593684,78.96288,2005-09-22,471031528
72,"Kimberly Loaiza",41300000,"People & Blogs",People,5603111948,"Kimberly Loaiza",Mexico,136745000,6600000,410200,400000,126014024,23.634501,-102.552784,2016-11-16,102626859
73,"Little Baby Bum - Nursery Rhymes & Kids Songs",40900000,Education,Education,39450824833,"Little Baby Bum - Nursery Rhymes & Kids Songs","United States",98775000,4700000,296300,100000,328239523,37.09024,-95.712891,2011-06-22,270663028
77,"shfa2 -",39700000,"People & Blogs",People,23884824160,"shfa2 -","United Arab Emirates",247731000,11900000,743200,300000,9770529,23.424076,53.847818,2017-11-06,8479744
79,CarryMinati,39200000,Comedy,Comedy,3294013141,CarryMinati,India,78688000,3800000,236100,700000,1366417754,20.593684,78.96288,2014-10-30,471031528
80,XXXTENTACION,39200000,Music,Music,10507474316,XXXTENTACION,"United States",58362000,2800000,175100,100000,328239523,37.09024,-95.712891,2015-06-23,270663028
81,"Super Simple Songs - Kids Songs",39200000,Education,Education,44900897958,"Super Simple Songs - Kids Songs",Canada,560756000,26900000,1700000,400000,36991981,56.130366,-106.346771,2006-09-08,30628482
82,Mikecrack,39100000,Gaming,Games,16118181673,Mikecrack,Spain,264108000,12700000,792300,800000,47076781,40.463667,-3.74922,2015-07-13,37927409
